Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,State_full_name,State_standard,Country
Almena State Bank,Almena,KS,15426,Equity Bank,2020-10-23,10538,Kansas,Kan.,United States
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",2020-10-16,10537,Florida,Fla.,United States
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",2020-04-03,10536,West Virginia,W.Va.,United States
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2020-02-14,10535,Nebraska,Neb.,United States
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,2019-11-01,10534,New Jersey,N.J.,United States
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,2019-10-25,10533,Ohio,Ohio,United States
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,2019-10-25,10532,Kentucky,Ky.,United States
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",2019-05-31,10531,Texas,Texas,United States
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,10530,Illinois,Ill.,United States
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,10529,Kansas,Kan.,United States
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,10528,Illinois,Ill.,United States
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,10527,Wisconsin,Wis.,United States
First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,10526,Louisiana,La.,United States
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,10525,Utah,Utah,United States
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,10524,Illinois,Ill.,United States
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,10523,New Jersey,N.J.,United States
Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,10522,Arkansas,Ark.,United States
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,10521,Georgia,Ga.,United States
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,10520,Pennsylvania,Pa.,United States
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,10519,Tennessee,Tenn.,United States
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,10518,Wisconsin,Wis.,United States
Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,10517,Washington,Wash.,United States
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,10516,Georgia,Ga.,United States
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,10515,Colorado,Colo.,United States
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,10514,Illinois,Ill.,United States
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,10513,Puerto Rico,P.R.,United States
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,10512,Georgia,Ga.,United States
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,10511,Illinois,Ill.,United States
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,2015-01-16,10510,Florida,Fla.,United States
Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,10509,Minnesota,Minn.,United States
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,10508,California,Calif.,United States
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014-10-24,10507,Illinois,Ill.,United States
NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014-10-17,10506,Maryland,Md.,United States
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014-07-25,10505,Illinois,Ill.,United States
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014-07-18,10504,Georgia,Ga.,United States
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,2014-06-27,10503,Oklahoma,Okla.,United States
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014-06-20,10501,Florida,Fla.,United States
Valley Bank,Moline,IL,10450,Great Southern Bank,2014-06-20,10502,Illinois,Ill.,United States
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014-05-30,10500,Maryland,Md.,United States
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014-05-23,10499,Ohio,Ohio,United States
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,2014-05-16,10498,Illinois,Ill.,United States
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014-04-25,10497,South Carolina,S.C.,United States
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014-02-28,10496,Pennsylvania,Pa.,United States
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,2014-02-28,10495,Virginia,Va.,United States
Syringa Bank,Boise,ID,34296,Sunwest Bank,2014-01-31,10494,Idaho,Idaho,United States
The Bank of Union,El Reno,OK,17967,BancFirst,2014-01-24,10493,Oklahoma,Okla.,United States
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014-01-17,10492,Illinois,Ill.,United States
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013-12-13,10491,Texas,Texas,United States
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013-10-30,10490,Florida,Fla.,United States
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,2013-09-13,10488,Texas,Texas,United States
The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013-09-13,10489,Connecticut,Conn.,United States
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013-08-23,10487,Arizona,Ariz.,United States
